s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	
512k	12458.6	12024.4	11373.7	9177.08	9051.91	8413.43	7645.91	7156.96	6882.02	6601.88	6263.37	5780.68	5576.94	5252.4	4939.05	4650.05	4522.52	4410.96	4307.86	4224.09	
511k	12538.1	12004	11352.6	10245.4	8901.99	7103.63	7508.75	7097.18	6883	6590.14	6275.96	5936.5	5588.96	5153.79	4952.82	4469.48	3818.86	4387.51	4300.09	4223.99	
510k	12498	12004.5	11352.4	10276.8	9330.53	8193.8	7533.94	7091.04	6914.54	6587.25	6262.23	5937.18	5599.59	5242.98	4945.24	4624.93	4537.92	4423.41	3861.2	4118.08	
509k	12578	11946.7	11369.5	9930.92	8481.55	8447.07	7603.51	7070.95	6927.29	6593.79	6278.9	5944.81	5590.2	5264.39	4941.13	4683.39	4540.82	4386.74	4319.31	4231.04	
508k	12575.5	12016.3	11341.1	10283.9	8922.32	8254.88	7518.42	7084.47	6895.84	6468.03	6289.43	5952	5599.15	5265.47	4961.3	4681.65	4322.17	3794.65	4333.91	4252.91	
507k	12521.9	12023.7	11373.7	10204.9	9363.94	8302.39	7570.97	7126.78	6960.5	6625.1	6292.25	5899.95	5611.27	5268.43	4966.02	4564.71	4097.64	4193.21	4219.23	4260.06	
506k	12530.5	11964.2	11387.6	10081.8	8322.04	8448.61	7713.98	7270.8	6962.57	6631.45	6305.91	5975.18	5611.16	5191.24	4953.66	4708.35	4531.14	4435.56	4346.37	4263.5	
505k	12546.9	12018.4	11388.3	10297.8	8926.28	8284.3	7449.68	7117.2	6921.56	6637.74	6318.14	5965.98	5615.16	5281.94	4980.64	4704.68	4398.45	3735.65	4323.82	4260.41	
504k	12568.7	11964.4	11387.3	10324.3	9360.74	8307.63	7575.83	7138.27	6830.41	6635.94	6312.72	5974.74	5622.02	5279.08	4979.95	4702.05	4569.3	4456.03	3989.45	4209.37	
503k	12583.8	12030.2	11344	10302.4	8572	8296.77	7582.86	7143.14	6945.46	6623.48	6246.48	5981.01	5630.78	5294.55	4979.73	4706.12	4576.9	4476.86	4364.06	4275.92	
502k	12558.3	12020.2	10767	10307.5	8916.45	8316.77	7580.86	7131.31	6929.82	6643.13	6329.99	5992.08	5643.73	5222.92	5001.09	4719.4	4577.73	4280.48	3783.86	4283.98	
501k	12541.7	12034.2	11394.7	10328.6	8434.1	7652.86	7436.23	7127.92	6948.14	6647.58	6349.66	6000.3	5630.41	5308.68	5001.55	4726.32	4524.63	4475.76	4375.28	3841.65	
500k	12520.8	11952.4	11398.8	10334.5	9038.3	7751.51	7623.41	7208.1	6812.38	6685.57	6362.81	6016.97	5667.9	5336.34	5023.74	4735.77	4605.24	4497.83	4393.01	4235.83	
499k	12570.8	12041	11336.6	10330.9	9399	7962.43	7620.24	7173.16	6983.65	6706.21	6372.38	5914.04	5678.47	5344.92	5047.62	4767.55	4630.71	4504.44	4377.54	4091.2	
498k	12196.2	12025.7	11386.1	10325.4	9310.65	8362.84	7629.2	7175.65	6958.3	6669.2	6366.98	6031.58	5691.42	5347.02	4982.08	4760.43	4620.82	4513.4	4403.26	4312.48	
497k	12406.8	11968.1	11406.6	10254.3	9218.22	8557.49	6940.64	7145.17	7009.18	6683.18	6376.84	6037.89	5670.48	5344.47	5037.34	4760.14	4618.09	4509.37	4356.23	4312.52	
496k	12584.2	12021.7	11322	10327.9	9414.73	8339.7	7608.59	6792.91	7006.05	6691.12	6243.39	6033.07	5685.61	5353.56	5037.7	4763.35	4620.72	4501.02	4401.28	4315.71	
495k	12156.4	12043.6	11394.8	10332.2	9309.52	8369.44	7612.29	7167.68	6989.76	6676.48	6382.96	6032.06	5687.84	5309.3	5041.25	4771.53	4628.38	4515.64	4401.23	4320.83	
494k	12219.8	12538	12372.9	10682.3	9732.57	8580.63	7722.86	7385.41	6927.96	6045.54	6566.26	6221.74	5869.52	5512.87	5198.78	4909.84	4767.9	4584.44	4535.39	4439.03	
493k	13126.2	12539.2	11790	10687.3	9730.71	8588.44	7859.72	7410.28	7220.29	6915.97	6532.33	5943.11	5554.79	5519.89	5197.23	4910.43	4767.12	4644.88	4541.68	4441.62	
492k	12813.3	11857.8	11856.8	10714.1	9742.95	7755.93	7826.99	7378.25	7191.92	6869.86	6572.17	6222.03	5853.53	5518.66	5195.57	4866.42	4771.27	4655.79	4538.51	4456.92	
491k	13134.6	11937.7	11503	10569.9	9520.29	8766.37	8020.22	7494.65	6429.59	6896.39	6600.52	6223.49	5877.32	5502.02	5080.27	4184.28	4766.15	4654.62	4539.2	4452.96	
490k	13083.1	12542.6	11863	10913.8	9753.86	8564.43	7843.51	7401.69	7199.57	6884.02	6571.6	6218.8	5863.92	4957.75	5185.77	4911.77	4768.71	4658.96	4307.08	4228.51	
489k	11732.6	11066.1	11250.2	10184.6	8151.19	8377.96	7420.4	7401.38	7204.68	6864.34	6572.44	6199.04	5222.54	4700.66	4868.74	3914.7	4423.39	4650.64	4544.42	4448.08	
488k	13133	11998.6	11541.8	10396.9	8198.03	7512.19	6756.09	6254.88	5295.25	5414.49	5076.81	4817.37	4645.42	4498.13	4371.68	4198.29	3826.63	3334.93	3796.06	3882.42	
487k	9129.28	9096.85	9055.47	8694.18	8189.77	7518.74	6729.71	6244.88	5835.12	5417.41	5069.38	4344.64	4552.85	4520.67	4377.82	4144.35	4174.04	3540.86	3669.23	4442.66	
486k	12881.9	12097.2	11868.4	10686.6	9736.16	8588.34	7833.43	7302.11	7209.33	6879.72	6552.5	6211.19	5853.4	5509.44	5195.35	4902.37	4760.56	4635.08	4535.32	4404.3	
485k	13129.1	12353.3	11743.6	10582.3	9749.01	8589.89	7850.38	7374.57	7184.78	6881.57	6564.36	6205.06	5774.81	5451.37	4063.01	4889.33	4195.03	4633.19	4524.2	4423.21	
484k	12783.9	12376.5	11807.1	10655.2	9517.33	8782.05	7892.02	7514.71	7216.71	6898.11	6564.79	6202.58	5850.72	5509.9	5165.32	4859.76	4490.22	4207.12	4447.34	4434.68	
483k	13133.5	12531.5	11775.2	10628.5	8103.5	8585.06	7822.68	7354.92	7177.06	6862.79	6559.77	5404.41	5847.75	5501.19	5184.06	4897.63	4745.51	4620.72	4511.83	4430.39	
482k	12804.5	12553.4	11845	10696.6	9765.19	7977.94	7503.9	7520.16	7196.53	6578.29	6562.48	6211.66	5852.48	5504.64	5179.73	4899.93	4133.44	4644.21	4539.88	4445.83	
481k	12510.9	12498.1	11847.9	10679.5	9747.82	8586.93	7854.35	7424.65	7189.74	6889.94	6288.8	6212.43	5845.79	5509.39	5195.95	4908.13	4761.6	4641.89	4535.35	4449.32	
480k	12834.2	12531.8	11853.9	10714.5	9744.22	8513.63	7880.55	7427.95	7185.71	6928.91	5213.36	5872.99	5860.9	5510.16	5194.48	4836.82	4768.36	4651.44	4555.06	4459.3	
479k	13134.4	12025	11845.3	10661	9565.84	8796.5	8023.35	7565.31	7249.17	6828.14	6591.63	6224.28	5881.09	5523.19	4744.71	4916.79	4775.57	4666.13	4552.33	4465.32	
478k	13104.5	12533.8	12100.9	9637.93	9644.96	8610.89	7877.36	7405.69	7236.19	6914.77	6604.65	6244.28	5880.58	5540.22	5202.61	4856.81	4770.6	4660.89	4559.31	4477.31	
