s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	
128m	10880.7	8374.59	6778.12	5589.54	4687.81	4062.57	3603.75	3214.15	2866.76	2586.79	2362.55	2174.79	2010.9	1854.37	1709.63	1575.32	1496.98	1436.97	1397.33	1369.68	
64m	10882.7	8342.13	6748.06	5576.55	4702.31	4082.72	3664.98	3291.04	2959.69	2679.56	2451.06	2257.78	2087.62	1929.75	1780.07	1640.52	1567.37	1511.03	1472.5	1444.45	
32m	10919.1	8372.57	6787.22	5623.16	4798.15	4173.74	3780.98	3443.06	3164.7	2874.64	2647.96	2438.49	2270.39	2089.2	1951.24	1789.56	1740.04	1684.59	1650.45	1623.57	
16m	11015.8	8540.7	6918.48	5767.18	4936.57	4463.3	4170.98	3989.25	3771.68	3493.88	3262.68	3068.54	2880	2698.07	2554.53	2403.51	2338.16	2283.71	2243.77	2210.1	
8m	12790.1	11341.2	9913.2	8604.06	7642.38	6767.37	6049.32	5582.59	5259.2	5004.74	4759.65	4555.34	4320.02	4060.79	3851.43	3651.76	3666.05	3620.47	3601.91	3552.54	
4m	13368.1	12677.8	11817.8	10419.8	9326.4	7985.88	7144.48	6746.8	6540.23	6352.9	6149.12	5852.88	5529.28	5207.6	4911.67	4643.01	4470.81	4306.56	4171.79	4042.47	
2m	13380.6	12687.8	11823.3	10448.3	9336.47	7976.64	7152.62	6747.36	6532.99	6401.24	6161.23	5861.09	5534.35	5218.45	4920.88	4642.68	4473.49	4318.04	4158.1	4022.41	
1024k	13379.3	12681.9	12044.2	10403.8	8994.81	8265.65	7361.67	6674.41	6662.19	6439.73	6184.26	5874.01	5545.07	5225.85	4923.19	4647.02	4467.96	4311.75	4169.52	4047.85	
512k	13352.6	12629.4	11951.5	10625.1	9492.79	8223.04	7455.5	7125.4	6890.72	6664.42	6401.79	6092.63	5746.64	5420.41	5110.18	4824.01	4664.76	4506.47	4381.33	4264.37	
256k	13521.7	13053.8	12791.8	12083	11209.2	10634.3	10026.6	9617.71	9304.22	8988.07	8692.66	8363.17	7998.75	7643.72	7269.28	6985.95	6850.21	6767.55	6699.45	6611.04	
128k	13557.3	13110.6	13099.5	12787.3	12200.9	11574.4	11167	10732.4	10317	10056.7	9662.35	9359.95	9058.05	8655.37	8334.03	7966.6	7639.54	8052.15	7946.18	7839.51	
64k	13575.7	13184.9	13303.8	13154.3	13069.3	12996.7	12853.3	12932	12925.3	12799.6	12459.4	11998.1	11473	10970.9	10494.5	10116.4	10024.3	10007.9	10032.9	10020.5	
32k	13537.9	13508.6	13475.5	13416.7	13395.8	13312	13293.1	13253.3	13185	13123.9	13053.6	13795.5	12982.6	12939.9	12920.4	12898.6	13048.2	12868.9	12958.6	12950.6	
16k	13475.9	13496.2	13409.1	13353.2	13296.4	13244.4	13127.1	13122.3	13026.5	13038.4	12899.2	12804.2	12755	13589.8	12678.7	12623.7	12619.2	12582.2	12460.3	12552.5	
