s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	
128m	9374.91	6825.31	6160.29	5313.41	4562.83	4205.83	3732.19	3383.1	3054.84	2780.61	2545.84	2331.74	2153.54	2007.02	1871.37	1757.34	1758.94	1764.63	1766.03	1766.56	
64m	9463.8	6773.87	6054.83	5287.52	4619.04	4312.53	3871.94	3501.56	3165.15	2886.19	2643.87	2429.84	2241.13	2093.77	1952.94	1832.5	1846.47	1858.26	1858.18	1879.97	
32m	9431.05	6745.62	6043.43	5353.93	4837.59	4543.44	4183.83	3792.3	3494.27	3171.14	2916.9	2678.78	2485.39	2307.99	1962.73	1944.04	1999.29	1750.73	1864.5	1904.19	
16m	9134.92	6897.79	6184.96	5441.37	5041.88	4875.88	4647.5	4253.61	4056.01	3602.7	2990.53	2774.64	2853.97	2327.4	2369.92	2378.8	2553.2	2892.01	3460.2	3634.54	
8m	18988.9	16831.1	15031	14756.9	12273.6	9362.81	8146.95	8662.94	8745.72	8263.1	8309.28	7599.19	7442.18	7197.9	6700.75	6405.83	6798.27	6872.05	7295.71	7475.47	
4m	24092.4	22258.7	20799	20662.4	20301.2	19379.4	18135.1	16514.3	14878.2	13011.5	12281.1	10960.1	10444	9639.24	9107.82	8204.43	8554.16	8446.13	8539.71	8464.27	
2m	25453.6	23130.1	21301	21020.4	19967.9	19730.7	18398.4	16612.9	14894.7	13478.5	12289.9	11293.6	10225.2	9735.61	9107.87	8538.18	8384.69	8449.45	8553.34	8554.47	
1024k	25476	22799.8	21620.2	20826.3	20579.5	19672.8	18462.5	16612	14881	13276.8	12197.3	11290	10471.7	9732.31	9111.32	8544.33	8544.11	8540.62	8310.61	8540.94	
512k	25735.7	23279	22237.3	21165.9	20662.3	19915.6	16965.4	16006.9	15299.8	13893.2	12708.8	11668.3	10858.8	10118.6	9470.08	8879.66	9034.08	9193.09	9360.78	9522.21	
256k	26160.9	24597	21416.7	23595.8	22978.6	22693.4	21747.8	20826	19731.1	16529.9	17457.9	16406.1	15432.7	14629.3	13814.1	13155.2	13998.7	15101.2	15803.8	16646.5	
128k	27032.9	27183.5	28324.2	28071	28041.5	28000.4	27904.6	27369.9	27803.2	27738.1	27720.4	27515.1	27429.9	27353	26414.7	27166.9	26594.1	26045.4	26591.5	26095	
64k	27243.6	27082.9	28421	27825.1	27314.7	27629	27386.8	27241	26805.7	27020.5	27879.2	27096.5	27665.7	27092.7	27383.1	27078.2	26867.8	26595.1	26465.6	26423.5	
32k	27273.6	28005.5	27440.6	27495	27256.3	27436.8	27089.6	26846	27086	26217.8	26854.3	26821.2	26170.1	26399.9	26319.4	25791.4	26669.8	26134.2	26524.7	26431	
16k	26617.8	27913.3	27201.4	27013.3	25827.1	26638.2	25517.1	26790.4	26126.8	26399.4	26286.7	26116.6	25912.6	25765.2	25708.3	25445.9	25381.2	25357.6	25025.2	24530.7	
